Product ID / User ID,AirPods_Model_1,AirPods_Model_2,AirPods_Model_3,AirPods_Model_4,AirPods_Model_5,AirPods_Model_6,AirPods_Model_7,AirPods_Model_8,AirPods_Model_9,AirPods_Model_10,AirPods_Model_11,AirPods_Model_12,AirPods_Model_13,AirPods_Model_14,AirPods_Model_15,AirPods_Model_16,AirPods_Model_17,AirPods_Model_18,AirPods_Model_19,AirPods_Model_20
25WPG3FE,3,2,2,3,0,4,0,5,1,1,2,4,5,3,4,0,0,5,1,4
3XGGPFV6,3,4,4,2,1,1,2,1,5,5,5,0,5,5,4,0,4,0,3,0
UH6J0887,1,3,3,4,4,0,2,3,0,0,1,3,0,4,1,2,4,4,1,4
GRSPE59A,2,0,0,0,4,5,5,1,2,2,0,4,0,0,3,2,5,5,4,2
K9W7Q2EL,5,0,0,1,2,5,2,1,3,1,0,4,3,5,3,0,0,4,4,1
RKHMY1RN,4,0,0,5,4,4,4,2,2,2,1,2,3,2,3,4,3,5,5,4
VYRBZDCH,1,2,5,0,3,2,4,5,2,5,1,2,1,0,3,5,0,2,5,2
0WL7XWPX,0,5,3,2,0,3,2,4,2,5,4,2,5,1,0,2,5,5,5,0
KJW9RAVH,1,2,3,2,3,4,3,4,1,5,4,0,1,5,2,5,1,3,5,0
RUYFG5E3,5,5,4,1,1,4,3,5,3,3,1,5,0,1,4,5,1,1,0,3
B16S2FAG,4,1,3,2,5,4,5,2,2,5,3,2,0,5,0,0,0,2,4,1
07CEYY95,4,2,4,5,3,4,2,4,0,5,3,3,2,2,4,4,4,0,4,1
2VBO2S7L,5,3,2,0,3,0,1,3,2,2,1,0,5,0,1,2,2,5,2,0
KDTFKQ14,0,3,4,3,3,1,0,5,1,0,0,2,5,3,2,4,3,0,5,5
R4R9KOGM,5,4,0,0,1,2,5,4,4,2,1,0,5,4,5,2,5,5,4,5
NS3OHBED,5,2,1,3,3,2,0,5,2,5,2,3,5,1,1,0,2,5,5,4
Y9D7MTWJ,0,5,2,1,3,0,3,4,1,1,2,4,4,4,4,1,4,4,5,1
QTDFRT3J,0,4,5,3,3,2,0,5,3,3,3,5,5,2,1,5,1,0,0,3
UP1QDP0Y,3,1,5,5,4,2,1,2,4,3,3,3,3,5,2,3,1,1,2,1
XLIADXM5,1,0,5,3,4,2,1,3,1,4,1,3,0,1,0,0,2,1,2,1
SCA3CEI6,1,2,5,3,1,4,0,1,2,4,3,3,2,3,3,0,4,2,3,4
VB5SI6SA,5,5,5,4,4,1,5,5,1,3,3,5,4,2,4,0,2,1,0,2
TPR0978J,1,3,2,2,3,3,0,2,2,4,1,4,5,4,3,4,5,3,0,5
5JLAHH2D,1,5,5,3,5,3,1,1,3,4,3,2,4,2,5,0,3,1,0,1
QQRKOQ5Z,1,2,1,4,4,3,4,0,2,0,5,5,1,0,2,5,0,3,5,2
P1STOYSS,1,4,1,0,2,3,5,2,1,4,2,0,4,1,3,1,5,5,5,0
3E2H77V5,5,0,3,0,5,4,0,5,5,3,1,3,1,5,2,2,5,4,4,1
DJMJWMKD,4,0,2,5,4,3,1,3,1,3,0,3,1,4,4,0,2,1,1,0
C3JWAD9Q,1,5,3,3,5,1,2,5,4,0,1,5,4,1,1,2,1,1,3,2
1FZVHHAZ,4,1,1,5,0,0,1,3,2,0,2,3,5,5,0,0,4,4,2,5
THXKGIK2,2,1,1,1,0,0,3,5,4,1,5,0,5,0,1,3,5,4,2,1
N33NHW9N,3,3,5,5,0,0,1,2,1,3,4,1,5,0,4,0,4,1,4,2
SX0RNHIC,3,5,5,5,4,2,4,3,4,0,3,1,1,4,2,0,1,4,5,2
E0CRT74V,3,5,5,3,3,0,1,1,5,0,3,5,1,2,3,0,3,0,4,3
DNLROCJZ,3,1,2,4,0,1,4,5,4,4,2,0,3,4,4,4,5,4,0,1
ZQ0XOOZ1,5,0,1,2,0,3,3,4,1,1,0,2,0,2,0,0,4,2,4,5
4YZXM95R,0,4,4,1,5,0,5,5,5,3,3,3,1,1,4,2,5,5,5,1
YIY9MGA8,2,5,5,4,1,5,2,2,0,1,1,3,4,1,4,0,4,4,4,5
I4TW21WV,2,3,0,1,0,0,5,3,2,2,0,0,1,2,0,5,3,3,0,5
T9WXORRZ,3,4,5,3,0,2,2,4,2,2,1,1,2,1,0,5,5,3,1,3
UKPLZBOB,1,5,0,3,5,0,0,5,2,2,0,3,1,4,5,0,0,3,4,0
6NWIE1YM,0,2,0,0,0,3,0,0,5,4,3,0,1,4,4,0,5,0,3,3
UF1BBGXI,3,4,0,3,5,5,1,0,2,0,0,5,3,5,2,2,0,3,2,5
PC3N5GFG,2,3,0,2,5,4,3,0,4,5,1,5,2,1,0,3,0,2,5,0
PWBO5TPW,5,5,3,5,4,5,2,2,2,0,2,2,2,0,3,3,5,5,2,2
CLHG7E8Z,3,1,3,5,1,3,2,5,4,3,4,3,2,2,4,0,3,1,2,0
K679TZUC,3,5,0,2,4,2,0,1,4,2,0,3,2,1,0,2,3,5,2,5
D4YID603,5,1,0,0,1,0,2,4,1,1,4,5,0,5,0,2,4,5,4,4
NGK84I9X,1,1,3,0,5,2,0,1,4,4,4,3,1,4,3,3,1,2,3,3
XRIFI8QB,4,4,5,5,4,3,3,1,4,5,4,2,0,5,3,3,3,3,0,4
QSI0YKS2,1,2,2,4,4,5,0,5,3,4,4,0,0,4,4,3,0,0,4,2
8O9KOOI4,0,1,5,5,0,1,2,3,3,4,4,2,3,3,3,1,4,3,3,2
VN7ZP9QI,3,1,2,4,1,5,5,0,0,4,3,1,4,5,1,3,0,0,0,1
5EVLHPAZ,4,1,0,3,5,4,3,5,3,0,0,2,4,2,0,1,0,5,3,5
25VD7QXZ,2,3,5,0,5,0,1,1,2,1,3,4,4,3,2,5,0,2,5,0
JWBHXOM2,4,4,3,1,2,2,0,3,5,3,1,0,4,0,4,4,3,3,5,4
W7V12519,1,0,4,4,2,2,5,1,2,5,4,0,5,2,3,0,0,4,5,0
JGA0TEFV,0,1,1,5,0,0,2,2,3,3,0,0,4,3,0,3,1,0,0,3
PG8AXVRA,0,3,4,5,1,4,2,5,3,4,5,1,4,4,4,2,4,1,0,4
42M3K1PD,3,2,5,5,1,5,2,4,2,1,2,2,1,3,3,2,4,0,0,2
B6BJVMZZ,4,2,3,5,2,3,3,0,3,2,3,4,5,3,4,5,2,3,0,3
7MOKXE1O,4,1,3,3,3,3,2,0,3,4,2,5,0,0,0,1,3,1,2,1
NOAT8X99,4,5,5,0,2,0,0,3,4,2,3,4,0,1,1,2,1,2,0,4
Y1308L23,0,1,2,1,0,5,1,4,1,4,2,0,0,5,1,3,0,0,4,4
H3X45U83,2,1,2,5,4,3,0,5,4,3,5,0,1,0,4,5,0,3,4,5
S3R7YLF5,3,0,4,2,3,1,2,0,3,3,5,3,4,0,1,4,2,1,5,4
QJ6QWZ77,1,2,4,4,2,5,1,1,4,3,2,5,4,0,1,3,2,3,2,1
31HA8ZDY,2,3,2,2,5,5,3,2,2,2,4,2,3,2,4,4,4,0,2,0
9IDQV4Q1,3,1,2,0,4,4,3,1,1,4,0,2,0,3,4,1,5,5,3,3
I3BGA8E6,2,1,0,1,3,1,0,1,0,3,2,5,5,3,4,5,2,0,2,4
FW8WR3KX,1,5,4,0,0,1,5,5,4,2,5,0,5,5,4,0,3,0,1,3
